         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.287, 0.0692, -0.00593815, -1.12421e-05, 0.445272, -0.0272427, -8.8209e-05, 0.0359016, 0.035903, 0.035902
1, -0.00593815, -1.12421e-05, 0.445272, -0.0272427, -8.8209e-05, 0.0359016, 0.035903, 0.035902, -0.2277, -0.3201, -0.013025, 5.28199e-05, 1.72045, 0.0101652, 0.000640714, 0.0458447, 0.0458435, 0.0458428
2, -0.013025, 5.28199e-05, 1.72045, 0.0101652, 0.000640714, 0.0458447, 0.0458435, 0.0458428, -0.3343, 0.0116, 0.001628, 0.000696084, 2.23294, 0.045456, 0.00190368, -0.0202715, -0.0202612, -0.0202707
3, 0.001628, 0.000696084, 2.23294, 0.045456, 0.00190368, -0.0202715, -0.0202612, -0.0202707, 0.2105, -0.2881, 0.0274022, 0.00175747, 2.46063, 0.0579264, 0.00248566, 0.0520244, 0.0519846, 0.0520932
4, 0.0274022, 0.00175747, 2.46063, 0.0579264, 0.00248566, 0.0520244, 0.0519846, 0.0520932, -0.2957, -0.2969, 0.0646839, 0.0034961, 4.31027, 0.10409, 0.00611141, 0.0607032, 0.0608081, 0.0608268
5, 0.0646839, 0.0034961, 4.31027, 0.10409, 0.00611141, 0.0607032, 0.0608081, 0.0608268, 0.1946, 0.0875, 0.1143, 0.00673445, 6.02444, 0.0821041, 0.00523985, 0.0660154, 0.0660262, 0.0660628
6, 0.1143, 0.00673445, 6.02444, 0.0821041, 0.00523985, 0.0660154, 0.0660262, 0.0660628, -0.2388, -0.0443, 0.160733, 0.010827, 7.25342, 0.091463, 0.00869906, 0.0175542, 0.0176872, 0.0176498
7, 0.160733, 0.010827, 7.25342, 0.091463, 0.00869906, 0.0175542, 0.0176872, 0.0176498, 0.0379, 0.3801, 0.207365, 0.0155468, 6.72364, 0.0630406, 0.006026, -0.056421, -0.0561167, -0.0565468
8, 0.207365, 0.0155468, 6.72364, 0.0630406, 0.006026, -0.056421, -0.0561167, -0.0565468, 0.4855, 0.2853, 0.226927, 0.0171288, 5.43857, 0.00411479, -0.000590849, -0.0195801, -0.019787, -0.0197182
9, 0.226927, 0.0171288, 5.43857, 0.00411479, -0.000590849, -0.0195801, -0.019787, -0.0197182, 0.3255, 0.2717, 0.210333, 0.0151646, 5.25783, -0.0496307, -0.00529556, 0.00213699, 0.00214077, 0.00214042
10, 0.210333, 0.0151646, 5.25783, -0.0496307, -0.00529556, 0.00213699, 0.00214077, 0.00214042, 0.313, 0.1346, 0.166601, 0.0108202, 5.76707, -0.104791, -0.010105, 0.0350633, 0.0349905, 0.0350195
11, 0.166601, 0.0108202, 5.76707, -0.104791, -0.010105, 0.0350633, 0.0349905, 0.0350195, 0.1015, 0.4857, 0.101182, 0.0043356, 5.99779, -0.16948, -0.0171298, -0.0328822, -0.032928, -0.033035
12, 0.101182, 0.0043356, 5.99779, -0.16948, -0.0171298, -0.0328822, -0.032928, -0.033035, -0.398, -0.0717, 0.0257737, -0.00328469, 4.00028, -0.130984, -0.0126283, -0.0990596, -0.0989299, -0.0992204
