         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
9998, -34.237, 20.2362, 0.489907, -53.5563, 21.5829, 3.72864, -34.2379, 20.2015, 0.526362
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
9999, 16.4059, 0.8087, 1.21631, 22.6102, -12.5509, 4.8967, 16.4262, 0.870029, 1.28121
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10000, -11.0582, -21.3912, 0.716707, -40.3331, 55.2954, 2.41466, -11.0594, -21.4328, 0.660203
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10001, -4.007, -49.248, 1.56861, 15.2287, 82.4829, 3.86399, -4.00701, -49.2013, 1.61864
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10002, -34.332, 25.263, -0.108293, 42.5282, -78.8404, 2.91976, -34.3326, 25.2649, 3.08086
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10003, -30.631, -42.5541, 1.56601, -21.9581, -16.744, 2.64143, -30.6269, -42.5134, 1.64016
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10004, 4.4281, 25.6719, -2.41809, -22.2275, -94.0681, 3.77651, 4.42739, 25.6568, 0.622613
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10005, 25.6648, -30.0206, -0.726693, 79.8013, 14.5226, 1.48735, 25.6661, -29.9799, 2.39052
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10006, -16.8742, -29.4346, 0.514707, 49.7343, -27.0014, 2.8121, -16.8731, -29.4343, 0.610067
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10007, 21.6074, -38.1259, -0.734393, -45.4509, -13.5628, 3.0164, 21.607, -38.1231, 2.45934
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10008, 27.053, -20.5204, -1.72259, 5.4343, 52.6544, 1.66697, 27.0527, -20.53, 1.44602
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10009, 12.9107, -16.9287, 2.01491, 21.9743, 66.6997, 3.40304, 12.9107, -16.9287, 2.01491
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10010, -43.6716, -15.3266, -2.07279, 16.8418, 30.5633, 2.18892, -43.6704, -15.3266, 1.0688
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10011, 24.081, 24.1334, 2.27641, -44.5575, -10.6562, 1.35683, 24.081, -15.5161, 0.931488
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10012, -45.7677, 15.7229, 1.07311, -83.0001, 70.2069, 3.16924, -45.7394, 15.7134, 0.98127
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10013, -30.1017, 29.8331, 1.44171, -50.0495, -37.4888, 1.56514, -30.1023, 29.8438, 1.35178
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10014, 12.8006, 43.0437, 1.15411, 30.9262, -25.3319, 0.218836, 12.8007, 43.1725, 1.12503
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
