         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
0, 0, 0, 0, 0, 0, 0, 0, 0, -0.1245, 0.4042, -0.00466218, 2.28032e-05, -1.08078, -0.021388, 0.000172963, -0.0871393, -0.0871388, -0.0871423
1, -0.00466218, 2.28032e-05, -1.08078, -0.021388, 0.000172963, -0.0871393, -0.0871388, -0.0871423, -0.2371, 0.37, -0.0197143, 0.000359265, -4.96558, -0.0356864, 0.00128, -0.172696, -0.172731, -0.172631
2, -0.0197143, 0.000359265, -4.96558, -0.0356864, 0.00128, -0.172696, -0.172731, -0.172631, 0.3109, -0.1556, -0.0409736, 0.00168649, -8.92244, -0.0493308, 0.00446313, -0.0633808, -0.0634154, -0.0633744
3, -0.0409736, 0.00168649, -8.92244, -0.0493308, 0.00446313, -0.0633808, -0.0634154, -0.0633744, 0.4803, 0.0103, -0.0740276, 0.00555767, -9.05033, -0.0918201, 0.0123446, 0.045925, 0.0459908, 0.0459285
4, -0.0740276, 0.00555767, -9.05033, -0.0918201, 0.0123446, 0.045925, 0.0459908, 0.0459285, 0.206, 0.2165, -0.127069, 0.012957, -7.41015, -0.129875, 0.0176278, 0.0525074, 0.0525511, 0.0525457
5, -0.127069, 0.012957, -7.41015, -0.129875, 0.0176278, 0.0525074, 0.0525511, 0.0525457, 0.4468, -0.3047, -0.195113, 0.0217217, -4.40736, -0.13646, 0.0172379, 0.178327, 0.178812, 0.178333
6, -0.195113, 0.0217217, -4.40736, -0.13646, 0.0172379, 0.178327, 0.178812, 0.178333, 0.1381, -0.2815, -0.265108, 0.0279858, 1.47636, -0.116305, 0.0104409, 0.236876, 0.236628, 0.236844
7, -0.265108, 0.0279858, 1.47636, -0.116305, 0.0104409, 0.236876, 0.236628, 0.236844, 0.4034, 0.1677, -0.338583, 0.0288411, 8.04803, -0.15756, -0.00360251, 0.230969, 0.230636, 0.230793
8, -0.338583, 0.0288411, 8.04803, -0.15756, -0.00360251, 0.230969, 0.230636, 0.230793, -0.1691, -0.0503, -0.421398, 0.0231373, 13.6044, -0.154569, -0.0150561, 0.155863, 0.156004, 0.155963
9, -0.421398, 0.0231373, 13.6044, -0.154569, -0.0150561, 0.155863, 0.156004, 0.155963, -0.0371, -0.4422, -0.485499, 0.0162824, 18.2114, -0.114682, -0.0162277, 0.179283, 0.179364, 0.178109
10, -0.485499, 0.0162824, 18.2114, -0.114682, -0.0162277, 0.179283, 0.179364, 0.178109, -0.2096, 0.2057, -0.531345, 0.00996224, 22.2922, -0.092183, -0.0183378, 0.0797745, 0.0797393, 0.0799044
