         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
0, 0, 0, 0, 3.2278, 81.2499, 0.158347, 1.50535e-06, -5.44124e-07, 2.07934e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1, 0, 0, 0, -97.1851, -95.3314, 0.690762, -2.39056e-06, -1.65276e-05, 2.12724e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
2, 0, 0, 0, 29.324, -54.5206, 1.58052, -9.74441e-07, -5.38969e-07, -2.00954e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
3, 0, 0, 0, 8.2289, 75.6617, 0.917215, 1.3727e-06, -6.13759e-07, -2.41511e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
4, 0, 0, 0, -52.9332, 44.1314, 0.366977, -4.56473e-07, -4.28325e-07, -1.71701e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
5, 0, 0, 0, -30.9337, 54.2536, 4.75846, -3.20492e-06, -5.05458e-08, -2.33069e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
6, 0, 0, 0, -70.7535, 27.3416, 4.90257, 1.34854e-05, -5.49451e-05, 9.31384e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
7, 0, 0, 0, -29.8444, 21.8103, 1.12441, -1.88339e-06, 1.54244e-07, -2.45908e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
8, 0, 0, 0, 28.3141, 38.1679, 0.393131, -2.40824e-06, 2.1713e-05, -2.70446e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
9, 0, 0, 0, -65.6004, -90.4455, 0.462024, 9.87885e-07, -1.26702e-06, 1.39224e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10, 0, 0, 0, 70.8309, 88.6964, 4.31927, 1.58966e-06, -9.33556e-07, 2.55534e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
11, 0, 0, 0, -98.4659, 64.7561, 1.33917, -1.7578e-06, -2.26926e-08, -2.57378e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
12, 0, 0, 0, -96.6458, 6.6443, 4.37395, -1.52474e-06, -1.16323e-06, -2.54191e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
13, 0, 0, 0, -64.5581, 13.7267, 1.52605, -1.17377e-06, -8.55014e-09, -4.20468e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
14, 0, 0, 0, -3.3185, 81.6356, 1.46966, 1.25342e-06, -7.55727e-07, 2.77793e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
15, 0, 0, 0, 19.4519, -45.2515, 0.1011, -1.21698e-06, -7.41815e-07, -2.34133e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
16, 0, 0, 0, -12.9612, -19.5023, 1.52676, 0.000342782, -0.00011413, 0.000195417
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
17, 0, 0, 0, -61.268, 33.4905, 4.34725, -1.58439e-06, -8.49974e-07, 2.57496e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
18, 0, 0, 0, -81.4245, 19.1581, 1.96539, -1.51859e-05, -2.1063e-07, 3.93743e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
19, 0, 0, 0, 26.4302, -93.3503, 1.78893, -2.51696e-06, -1.95722e-06, 1.12658e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
20, 0, 0, 0, 30.8688, 82.7483, 4.40974, 1.30254e-06, -4.38887e-07, 2.18311e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
21, 0, 0, 0, -14.7233, 17.2891, 1.75566, -3.23864e-05, -3.4885e-05, 6.32912e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
22, 0, 0, 0, 19.634, -47.5238, 1.96438, -8.89077e-07, -9.60875e-07, 3.04418e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
23, 0, 0, 0, 1.7191, 61.7837, 0.376556, 7.70916e-07, -5.0902e-07, 1.81323e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
24, 0, 0, 0, 63.3682, -17.3846, 4.75462, 1.24696e-05, 1.34121e-06, 1.52461e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
25, 0, 0, 0, 61.9217, 60.1054, 0.275715, 9.80002e-06, 3.26987e-09, 1.24899e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
26, 0, 0, 0, -66.5956, 10.8615, 4.34229, 3.40278e-06, -6.1283e-07, -4.50462e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
27, 0, 0, 0, 30.7356, -74.7564, 0.496497, 2.06572e-05, 1.16032e-07, 2.72319e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
28, 0, 0, 0, -6.8685, 13.1478, 1.21963, 1.72817e-06, -2.55798e-06, 2.73175e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
29, 0, 0, 0, -15.0403, 71.2471, 0.30341, 1.66334e-06, -7.36328e-07, -2.722e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
30, 0, 0, 0, 96.9124, -56.0053, 1.2854, -4.70433e-05, 6.84843e-06, -8.30015e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
31, 0, 0, 0, 96.8393, 0.042, 2.10421, 7.60415e-06, 2.37302e-07, 1.42366e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
32, 0, 0, 0, -46.6019, 58.478, 0.293843, 9.04266e-07, -1.06456e-06, -3.32515e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
33, 0, 0, 0, -26.4097, -22.3552, 1.39826, -2.36347e-05, -6.29153e-05, 5.59778e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
34, 0, 0, 0, 82.5064, 18.1186, 0.567973, 1.55947e-17, -6.37263e-19, -2.61718e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
35, 0, 0, 0, -78.4144, -54.0457, 0.490068, -1.33871e-06, -5.72699e-07, -2.56482e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
36, 0, 0, 0, -18.9584, -8.8594, 1.99164, -0.000420438, -5.148e-05, -6.35261e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
37, 0, 0, 0, 21.6422, -2.4928, 1.675, 6.09981e-07, -2.87103e-08, 2.82879e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
38, 0, 0, 0, -62.4138, -93.9501, 1.8844, -1.27201e-06, -1.01059e-06, -3.40347e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
39, 0, 0, 0, 34.0377, -85.0552, 0.526927, -1.60283e-06, -8.61812e-07, -2.5881e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
40, 0, 0, 0, -16.1626, -81.8408, 4.62567, -0.00102084, 2.22868e-08, -2.45625e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
41, 0, 0, 0, -19.6346, -51.5455, 1.99746, -5.2154e-05, 1.33187e-07, -9.96931e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
42, 0, 0, 0, 40.1281, 10.6397, 2.03723, 1.45039e-07, 7.03549e-07, 2.51013e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
43, 0, 0, 0, 40.2383, -59.3241, 0.821019, -1.56234e-06, -7.67195e-07, 2.61115e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
44, 0, 0, 0, 74.3703, -58.0889, 1.0128, -8.83292e-05, -0.000158613, -4.35266e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
45, 0, 0, 0, -16.5958, -52.4643, 1.47603, -8.94805e-07, -3.51644e-07, -2.54465e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
46, 0, 0, 0, 30.4458, -72.9578, 0.888442, -6.61594e-07, -3.93931e-07, 1.83012e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
47, 0, 0, 0, 55.4835, -14.633, 1.88069, 2.09176e-23, 1.69006e-26, 2.34125e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
48, 0, 0, 0, 98.729, -64.086, 4.7414, 1.25072e-06, -7.99938e-07, -2.3263e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
49, 0, 0, 0, 22.5459, -68.4197, 0.89645, 0.000886388, -7.72601e-06, -5.43025e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
50, 0, 0, 0, 87.3503, -42.4749, 1.07542, 1.18421e-06, -4.75488e-07, -2.53174e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
51, 0, 0, 0, 27.3831, 21.9104, 0.129569, 1.26889e-06, -6.79094e-07, -2.20766e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
52, 0, 0, 0, 15.991, 55.6959, 0.7277, -2.04289e-06, 4.22017e-06, 9.3848e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
53, 0, 0, 0, -12.8863, 56.8297, 1.4017, 3.29061e-06, 3.08224e-06, 2.34807e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
54, 0, 0, 0, -86.3255, 80.7223, 4.41436, -1.34755e-06, -8.90181e-07, -2.86542e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
55, 0, 0, 0, -35.3234, 86.8417, 0.209228, 2.56925e-05, 2.34093e-05, -1.49845e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
56, 0, 0, 0, 63.1644, -4.7469, 0.881249, 6.3269e-08, 2.03597e-05, 1.45241e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
57, 0, 0, 0, 17.1023, -56.3349, 0.412732, -1.25385e-06, -9.58698e-07, -2.60615e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
58, 0, 0, 0, -7.2622, -64.6518, 4.62622, -1.05336e-05, 9.01622e-07, -1.10304e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
59, 0, 0, 0, -64.2232, -50.2568, 1.09437, -3.455e-06, -1.08141e-06, 6.74086e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
60, 0, 0, 0, 29.8484, -3.2819, 0.257226, 1.03206e-06, -1.19682e-06, -2.49935e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
61, 0, 0, 0, -91.2534, -26.9163, 0.167905, -1.50142e-06, -3.567e-06, -1.03644e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
62, 0, 0, 0, 5.9367, -92.5801, 1.34254, 0.000933921, -3.07525e-06, -1.18521e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
63, 0, 0, 0, 2.2827, 88.8896, 0.401539, 1.71224e-06, -9.78301e-07, 2.65427e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
64, 0, 0, 0, -75.8983, 98.8429, 2.05255, 5.32957e-06, -6.98505e-07, -4.75568e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
65, 0, 0, 0, -30.2074, -67.451, 1.53298, -9.14622e-07, -8.89183e-07, -2.41598e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
66, 0, 0, 0, -69.5302, -22.5074, 4.40415, -3.34898e-17, 5.986e-18, -1.84111e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
67, 0, 0, 0, 24.7514, -53.9899, 0.158984, -2.54935e-07, 3.55332e-06, 1.17376e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
68, 0, 0, 0, 51.8281, 12.9342, 0.783592, 4.20545e-06, -2.03704e-05, -4.36156e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
69, 0, 0, 0, -90.5067, 31.3302, 0.126448, -1.43159e-06, -9.6282e-07, -2.27574e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
70, 0, 0, 0, -22.433, 90.1296, 1.62375, -0.000882719, -4.74267e-05, -2.70589e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
71, 0, 0, 0, 55.8633, -20.1085, 4.68447, 1.88344e-06, 7.81954e-08, 2.36288e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
72, 0, 0, 0, -90.3828, -87.2768, 1.54575, 3.90271e-05, 1.59215e-06, 6.04009e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
73, 0, 0, 0, -9.3657, 3.7501, 4.74251, -1.39351e-06, -5.37773e-07, -2.33279e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
74, 0, 0, 0, 74.0365, -72.3037, 4.93645, -0.000781048, 7.00986e-08, -2.6017e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
75, 0, 0, 0, 99.2959, -1.7496, 1.37844, 7.91195e-08, -2.61005e-23, -1.21185e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
76, 0, 0, 0, -18.662, 12.263, 0.18058, -1.28337e-06, -5.5318e-07, -2.48816e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
77, 0, 0, 0, -81.7875, 81.6399, 0.853391, -0.000843976, 6.31468e-07, -1.85969e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
78, 0, 0, 0, -17.2036, -39.2982, 1.41746, -1.47837e-06, -1.27964e-06, 2.88103e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
79, 0, 0, 0, 8.6255, -32.1036, 0.464698, -5.40218e-07, -2.56059e-07, 1.15985e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
80, 0, 0, 0, 84.1387, -79.3936, 1.27107, -0.573126, -0.00729708, 0.00344155
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
81, 0, 0, 0, -96.9422, 34.1406, 0.375074, -1.40605e-06, -9.34504e-07, -2.59607e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
82, 0, 0, 0, -49.8312, 5.348, 1.92914, -2.19697e-05, -1.06749e-05, -2.11592e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
83, 0, 0, 0, -87.5971, 88.3575, 1.39556, 9.91369e-07, -6.18631e-07, -1.82105e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
84, 0, 0, 0, 52.5911, -77.3474, 1.11196, -5.44537e-18, 6.01586e-18, -1.96728e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
85, 0, 0, 0, -12.3477, -80.0263, 0.387136, -1.59609e-06, -1.12551e-06, -2.59285e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
86, 0, 0, 0, 78.2611, 32.0757, 0.67817, -8.0784e-06, 2.03384e-06, -9.19342e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
87, 0, 0, 0, 89.3409, 98.468, 0.716116, -3.35558e-08, -8.25967e-19, 3.64827e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
88, 0, 0, 0, -32.165, 36.0903, 0.731289, 1.40113e-06, -6.71553e-07, -2.0767e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
89, 0, 0, 0, -12.9958, 90.6198, 3.57447, 0.59888, -0.0300907, 0.0368182
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
90, 0, 0, 0, 94.7992, -13.5345, 1.39868, 1.96985e-06, -9.42269e-07, 3.08644e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
91, 0, 0, 0, 9.5901, -21.9288, 0.104218, -1.15901e-06, -1.14462e-06, 3.09364e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
